SampleID,Name,Time,Date,Latitude (decimal degrees),Longitude (decimal degrees),Salinity (psu),temperature(C),Pressure (dbars),Total P (micromol/kgSW),Total Si (micromol/kgSW),TA (micromol/kgSW),TCO2 (micromol/kgSW),pH,fCO2 (microatm),pCO2 (microatm),HCO3 (micromol/kgSW),CO3 (micromol/kgSW),CO2 (micromol/kgSW),B Alk (micromol/kgSW),OH (micromol/kgSW),P Alk (micromol/kgSW),Si Alk (micromol/kgSW),Revelle,O Ca,O Ar ,xCO2  (dry at 1 atm) (ppm),t(C) adjusted,P (dbars) adjusted,pH adjusted,fCO2 adjusted (microatm),pCO2 adjusted(microatm),HCO3 adjusted(micromol/kgSW),CO3 adjusted (micromol/kgSW),CO2 adjusted(micromol/kgSW),B Alk adjusted(micromol/kgSW),OH adjusted (micromol/kgSW),P Alk adjusted(micromol/kgSW),Si Alk adjusted (micromol/kgSW),Revelle adjusted,O Ca adjusted,O Ar adjusted,xCO2 out (dry at 1 atm) (ppm),pCO2_air (microatm),Windspeed,CO2 Flux (mmol/m2/d),CO2 Flux adjusted (mmol/m2/d),Whose K1/K2,Whose KHSO4,Which pH Scale,Whose Boron,Whose Air-sea Flux,Windspeed Units,Comment
 75,"3","","8-Aug-13",,,22.900,18.900,10.133,0.000,0.000,1722.595,1689.247,7.780,930.888,934.100,1610.323,45.691,33.232,19.715,1.191,0.000,0.000,18.423,1.182,0.735,954.396,18.900,10.133,7.780,930.888,934.100,1610.323,45.691,33.232,19.715,1.191,0.000,0.000,18.423,1.182,0.735,954.396,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 76,"4","","8-Aug-13",,,23.100,18.900,10.133,0.000,0.000,1717.820,1620.913,8.035,489.277,490.965,1525.197,78.269,17.448,33.941,2.153,0.000,0.000,14.911,2.022,1.259,501.631,18.900,10.133,8.035,489.277,490.965,1525.197,78.269,17.448,33.941,2.153,0.000,0.000,14.911,2.022,1.259,501.631,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 77,"5","","8-Aug-13",,,23.000,18.900,10.133,0.000,0.000,1732.799,1639.935,8.020,513.563,515.335,1545.213,76.398,18.324,32.724,2.075,0.000,0.000,15.220,1.975,1.229,526.532,18.900,10.133,8.020,513.563,515.335,1545.213,76.398,18.324,32.724,2.075,0.000,0.000,15.220,1.975,1.229,526.532,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 78,"6","","8-Aug-13",,,23.100,18.900,10.133,0.000,0.000,1722.474,1671.282,7.855,771.942,774.606,1589.850,53.904,27.527,23.407,1.423,0.000,0.000,17.592,1.393,0.867,791.434,18.900,10.133,7.855,771.942,774.606,1589.850,53.904,27.527,23.407,1.423,0.000,0.000,17.592,1.393,0.867,791.434,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 79,"7","","8-Aug-13",,,23.100,18.900,10.133,0.000,0.000,1724.093,1626.959,8.035,491.102,492.796,1530.885,78.561,17.513,33.941,2.153,0.000,0.000,14.924,2.030,1.263,503.502,18.900,10.133,8.035,491.102,492.796,1530.885,78.561,17.513,33.941,2.153,0.000,0.000,14.924,2.030,1.263,503.502,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 80,"8","","8-Aug-13",,,23.100,19.000,10.133,0.000,0.000,1718.442,1685.396,7.775,938.812,942.047,1606.556,45.458,33.382,19.795,1.194,0.000,0.000,18.375,1.175,0.731,962.645,19.000,10.133,7.775,938.812,942.047,1606.556,45.458,33.382,19.795,1.194,0.000,0.000,18.375,1.175,0.731,962.645,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 81,"9","","8-Aug-13",,,23.100,18.800,10.133,0.000,0.000,1726.913,1665.155,7.900,691.434,693.822,1581.163,59.265,24.727,25.670,1.564,0.000,0.000,17.035,1.531,0.952,708.800,18.800,10.133,7.900,691.434,693.822,1581.163,59.265,24.727,25.670,1.564,0.000,0.000,17.035,1.531,0.952,708.800,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 82,"10","","8-Aug-13",,,23.200,18.800,10.133,0.000,0.000,1725.167,1645.452,7.970,578.662,580.661,1556.060,68.709,20.683,29.858,1.842,0.000,0.000,15.955,1.774,1.104,593.196,18.800,10.133,7.970,578.662,580.661,1556.060,68.709,20.683,29.858,1.842,0.000,0.000,15.955,1.774,1.104,593.196,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 83,"11","","8-Aug-13",,,23.000,18.900,10.133,0.000,0.000,1723.315,1623.840,8.045,479.054,480.706,1526.787,79.960,17.092,34.419,2.198,0.000,0.000,14.796,2.067,1.286,491.151,18.900,10.133,8.045,479.054,480.706,1526.787,79.960,17.092,34.419,2.198,0.000,0.000,14.796,2.067,1.286,491.151,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 84,"12","","8-Aug-13",,,23.100,18.700,10.133,0.000,0.000,1714.270,1688.708,7.745,1005.292,1008.769,1610.546,42.106,36.056,18.444,1.085,0.000,0.000,18.623,1.087,0.676,1030.407,18.700,10.133,7.745,1005.292,1008.769,1610.546,42.106,36.056,18.444,1.085,0.000,0.000,18.623,1.087,0.676,1030.407,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 85,"13","","8-Aug-13",,,23.200,18.600,10.133,0.000,0.000,1707.866,1672.288,7.790,895.268,898.369,1593.912,46.191,32.185,20.393,1.196,0.000,0.000,18.277,1.192,0.741,917.514,18.600,10.133,7.790,895.268,898.369,1593.912,46.191,32.185,20.393,1.196,0.000,0.000,18.277,1.192,0.741,917.514,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 86,"14","","8-Aug-13",,,23.200,18.900,10.133,0.000,0.000,1714.657,1640.057,7.950,605.293,607.381,1552.787,65.697,21.573,28.713,1.775,0.000,0.000,16.215,1.696,1.056,620.576,18.900,10.133,7.950,605.293,607.381,1552.787,65.697,21.573,28.713,1.775,0.000,0.000,16.215,1.696,1.056,620.576,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 87,"15","","8-Aug-13",,,23.200,18.900,10.133,0.000,0.000,1703.919,1754.003,7.410,2235.757,2243.471,1654.135,20.184,79.684,8.944,0.512,0.000,0.000,16.282,0.521,0.324,2292.208,18.900,10.133,7.410,2235.757,2243.471,1654.135,20.184,79.684,8.944,0.512,0.000,0.000,16.282,0.521,0.324,2292.208,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 88,"16","","8-Aug-13",,,23.200,18.900,10.133,0.000,0.000,1718.042,1631.613,7.995,541.239,543.106,1540.051,72.272,19.290,31.489,1.969,0.000,0.000,15.519,1.866,1.162,554.904,18.900,10.133,7.995,541.239,543.106,1540.051,72.272,19.290,31.489,1.969,0.000,0.000,15.519,1.866,1.162,554.904,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 89,"17","","8-Aug-13",,,23.200,19.200,10.133,0.000,0.000,1702.161,1735.469,7.475,1919.321,1925.918,1644.114,23.534,67.821,10.402,0.610,0.000,0.000,17.326,0.608,0.379,1968.565,19.200,10.133,7.475,1919.321,1925.918,1644.114,23.534,67.821,10.402,0.610,0.000,0.000,17.326,0.608,0.379,1968.565,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 90,"18","","8-Aug-13",,,23.200,19.000,10.133,0.000,0.000,1711.040,1636.216,7.950,604.441,606.524,1548.981,65.754,21.481,28.772,1.791,0.000,0.000,16.182,1.698,1.058,619.784,19.000,10.133,7.950,604.441,606.524,1548.981,65.754,21.481,28.772,1.791,0.000,0.000,16.182,1.698,1.058,619.784,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 91,"19","","8-Aug-13",,,22.900,18.700,10.133,0.000,0.000,1705.856,1631.979,7.955,595.826,597.887,1545.412,65.174,21.393,28.358,1.750,0.000,0.000,16.277,1.685,1.047,610.713,18.700,10.133,7.955,595.826,597.887,1545.412,65.174,21.393,28.358,1.750,0.000,0.000,16.277,1.685,1.047,610.713,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 92,"20","","8-Aug-13",,,23.300,19.100,10.133,0.000,0.000,1713.338,1685.081,7.750,993.789,997.210,1606.592,43.290,35.198,19.040,1.143,0.000,0.000,18.466,1.118,0.697,1019.150,19.100,10.133,7.750,993.789,997.210,1606.592,43.290,35.198,19.040,1.143,0.000,0.000,18.466,1.118,0.697,1019.150,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 93,"21","","8-Aug-13",,,23.000,18.700,10.133,0.000,0.000,1722.503,1656.589,7.920,656.254,658.524,1571.723,61.316,23.550,26.540,1.619,0.000,0.000,16.801,1.584,0.985,672.650,18.700,10.133,7.920,656.254,658.524,1571.723,61.316,23.550,26.540,1.619,0.000,0.000,16.801,1.584,0.985,672.650,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 94,"22","","8-Aug-13",,,23.100,18.700,10.133,0.000,0.000,1728.047,1643.715,7.990,551.284,553.190,1552.587,71.356,19.772,30.852,1.907,0.000,0.000,15.707,1.843,1.146,565.056,18.700,10.133,7.990,551.284,553.190,1552.587,71.356,19.772,30.852,1.907,0.000,0.000,15.707,1.843,1.146,565.056,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 95,"23","","8-Aug-13",,,23.300,18.900,10.133,0.000,0.000,1718.587,1594.281,8.125,386.855,388.190,1486.168,94.333,13.780,41.097,2.663,0.000,0.000,13.407,2.434,1.516,396.622,18.900,10.133,8.125,386.855,388.190,1486.168,94.333,13.780,41.097,2.663,0.000,0.000,13.407,2.434,1.516,396.622,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 96,"24","","8-Aug-13",,,23.200,18.900,10.133,0.000,0.000,1714.606,1681.555,7.775,934.894,938.120,1602.909,45.325,33.320,19.877,1.186,0.000,0.000,18.356,1.170,0.729,958.500,18.900,10.133,7.775,934.894,938.120,1602.909,45.325,33.320,19.877,1.186,0.000,0.000,18.356,1.170,0.729,958.500,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 97,"1","","15-Aug-13",,,23.000,18.000,10.133,0.000,0.000,1797.084,1630.076,8.255,286.753,287.753,1496.251,123.323,10.501,50.900,3.292,0.000,0.000,11.908,3.181,1.974,293.655,18.000,10.133,8.255,286.753,287.753,1496.251,123.323,10.501,50.900,3.292,0.000,0.000,11.908,3.181,1.974,293.655,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 98,"2","","15-Aug-13",,,23.200,18.000,10.133,0.000,0.000,1791.782,1730.820,7.900,712.533,715.019,1644.577,60.178,26.065,25.401,1.461,0.000,0.000,17.335,1.550,0.963,729.682,18.000,10.133,7.900,712.533,715.019,1644.577,60.178,26.065,25.401,1.461,0.000,0.000,17.335,1.550,0.963,729.682,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 99,"3","","15-Aug-13",,,23.200,18.000,10.133,0.000,0.000,1773.814,1730.026,7.830,838.901,841.829,1648.012,51.327,30.687,21.920,1.244,0.000,0.000,18.154,1.322,0.821,859.093,18.000,10.133,7.830,838.901,841.829,1648.012,51.327,30.687,21.920,1.244,0.000,0.000,18.154,1.322,0.821,859.093,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 100,"4","","15-Aug-13",,,23.200,18.000,10.133,0.000,0.000,1821.566,1648.006,8.265,282.248,283.233,1509.665,128.016,10.325,52.489,3.386,0.000,0.000,11.753,3.297,2.049,289.042,18.000,10.133,8.265,282.248,283.233,1509.665,128.016,10.325,52.489,3.386,0.000,0.000,11.753,3.297,2.049,289.042,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 101,"5","","15-Aug-13",,,23.000,18.000,10.133,0.000,0.000,1808.597,1638.990,8.260,284.792,285.786,1503.228,125.333,10.429,51.379,3.330,0.000,0.000,11.857,3.233,2.006,291.647,18.000,10.133,8.260,284.792,285.786,1503.228,125.333,10.429,51.379,3.330,0.000,0.000,11.857,3.233,2.006,291.647,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 102,"6","","15-Aug-13",,,23.300,18.000,10.133,0.000,0.000,1797.414,1721.926,7.955,622.153,624.324,1631.248,67.931,22.746,28.652,1.663,0.000,0.000,16.509,1.749,1.087,637.126,18.000,10.133,7.955,622.153,624.324,1631.248,67.931,22.746,28.652,1.663,0.000,0.000,16.509,1.749,1.087,637.126,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 103,"7","","15-Aug-13",,,23.300,17.900,10.133,0.000,0.000,1806.624,1639.540,8.250,290.827,291.843,1505.619,123.257,10.664,51.247,3.250,0.000,0.000,11.930,3.172,1.971,297.789,17.900,10.133,8.250,290.827,291.843,1505.619,123.257,10.664,51.247,3.250,0.000,0.000,11.930,3.172,1.971,297.789,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 104,"8","","15-Aug-13",,,23.300,17.900,10.133,0.000,0.000,1788.748,1744.751,7.830,844.434,847.384,1662.058,51.730,30.963,22.010,1.236,0.000,0.000,18.174,1.331,0.827,864.650,17.900,10.133,7.830,844.434,847.384,1662.058,51.730,30.963,22.010,1.236,0.000,0.000,18.174,1.331,0.827,864.650,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 105,"9","","15-Aug-13",,,23.100,17.900,10.133,0.000,0.000,1799.746,1673.558,8.135,393.750,395.126,1561.536,97.569,14.454,40.599,2.481,0.000,0.000,13.710,2.514,1.561,403.178,17.900,10.133,8.135,393.750,395.126,1561.536,97.569,14.454,40.599,2.481,0.000,0.000,13.710,2.514,1.561,403.178,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 106,"10","","15-Aug-13",,,23.100,17.900,10.133,0.000,0.000,1813.456,1643.427,8.260,285.028,286.024,1507.368,125.596,10.463,51.593,3.309,0.000,0.000,11.857,3.236,2.009,291.853,17.900,10.133,8.260,285.028,286.024,1507.368,125.596,10.463,51.593,3.309,0.000,0.000,11.857,3.236,2.009,291.853,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 107,"11","","15-Aug-13",,,23.300,17.900,10.133,0.000,0.000,1818.964,1643.579,8.270,277.520,278.489,1504.439,128.964,10.176,53.198,3.403,0.000,0.000,11.673,3.319,2.063,284.164,17.900,10.133,8.270,277.520,278.489,1504.439,128.964,10.176,53.198,3.403,0.000,0.000,11.673,3.319,2.063,284.164,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 108,"12","","15-Aug-13",,,23.200,17.900,10.133,0.000,0.000,1782.264,1677.659,8.065,466.638,468.268,1576.475,84.065,17.120,35.551,2.117,0.000,0.000,14.776,2.165,1.345,477.810,17.900,10.133,8.065,466.638,468.268,1576.475,84.065,17.120,35.551,2.117,0.000,0.000,14.776,2.165,1.345,477.810,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 109,"13","","15-Aug-13",,,23.400,17.900,10.133,0.000,0.000,1795.967,1694.318,8.050,487.538,489.241,1593.900,82.551,17.867,34.919,2.056,0.000,0.000,14.980,2.123,1.320,499.209,17.900,10.133,8.050,487.538,489.241,1593.900,82.551,17.867,34.919,2.056,0.000,0.000,14.980,2.123,1.320,499.209,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 110,"14","","15-Aug-13",,,23.400,17.900,10.133,0.000,0.000,1808.873,1641.046,8.250,290.789,291.805,1506.712,123.677,10.657,51.554,3.259,0.000,0.000,11.905,3.181,1.978,297.750,17.900,10.133,8.250,290.789,291.805,1506.712,123.677,10.657,51.554,3.259,0.000,0.000,11.905,3.181,1.978,297.750,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 111,"15","","15-Aug-13",,,23.200,17.900,10.133,0.000,0.000,1756.843,1799.713,7.455,2052.514,2059.685,1702.131,22.280,75.301,9.668,0.520,0.000,0.000,16.997,0.574,0.356,2101.654,17.900,10.133,7.455,2052.514,2059.685,1702.131,22.280,75.301,9.668,0.520,0.000,0.000,16.997,0.574,0.356,2101.654,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 112,"16","","15-Aug-13",,,23.400,17.900,10.133,0.000,0.000,1801.304,1639.448,8.235,301.417,302.470,1508.761,119.641,11.046,50.119,3.148,0.000,0.000,12.105,3.077,1.913,308.633,17.900,10.133,8.235,301.417,302.470,1508.761,119.641,11.046,50.119,3.148,0.000,0.000,12.105,3.077,1.913,308.633,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 113,"17","","15-Aug-13",,,23.400,17.900,10.133,0.000,0.000,1775.831,1691.591,7.990,561.521,563.482,1598.889,72.124,20.578,30.914,1.791,0.000,0.000,15.908,1.855,1.153,574.963,17.900,10.133,7.990,561.521,563.482,1598.889,72.124,20.578,30.914,1.791,0.000,0.000,15.908,1.855,1.153,574.963,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 114,"18","","15-Aug-13",,,23.400,17.900,10.133,0.000,0.000,1820.602,1650.153,8.255,288.825,289.834,1513.865,125.703,10.585,52.039,3.296,0.000,0.000,11.855,3.233,2.010,295.739,17.900,10.133,8.255,288.825,289.834,1513.865,125.703,10.585,52.039,3.296,0.000,0.000,11.855,3.233,2.010,295.739,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 115,"19","","15-Aug-13",,,23.100,17.900,10.133,0.000,0.000,1803.840,1639.957,8.245,295.121,296.152,1507.760,121.364,10.833,50.162,3.196,0.000,0.000,12.052,3.127,1.942,302.187,17.900,10.133,8.245,295.121,296.152,1507.760,121.364,10.833,50.162,3.196,0.000,0.000,12.052,3.127,1.942,302.187,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 116,"20","","15-Aug-13",,,23.400,18.000,10.133,0.000,0.000,1794.020,1737.272,7.880,748.149,750.760,1651.898,58.036,27.338,24.662,1.402,0.000,0.000,17.538,1.493,0.929,766.154,18.000,10.133,7.880,748.149,750.760,1651.898,58.036,27.338,24.662,1.402,0.000,0.000,17.538,1.493,0.929,766.154,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 117,"21","","15-Aug-13",,,23.400,17.900,10.133,0.000,0.000,1792.876,1647.345,8.190,338.115,339.296,1525.866,109.088,12.391,46.003,2.838,0.000,0.000,12.750,2.806,1.745,346.209,17.900,10.133,8.190,338.115,339.296,1525.866,109.088,12.391,46.003,2.838,0.000,0.000,12.750,2.806,1.745,346.209,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 118,"22","","15-Aug-13",,,23.100,17.900,10.133,0.000,0.000,1796.682,1635.062,8.240,297.877,298.918,1504.419,119.709,10.934,49.691,3.160,0.000,0.000,12.112,3.085,1.915,305.009,17.900,10.133,8.240,297.877,298.918,1504.419,119.709,10.934,49.691,3.160,0.000,0.000,12.112,3.085,1.915,305.009,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 119,"23","","15-Aug-13",,,23.400,18.000,10.133,0.000,0.000,1814.043,1643.518,8.255,287.897,288.901,1507.411,125.587,10.520,52.137,3.326,0.000,0.000,11.823,3.231,2.009,294.825,18.000,10.133,8.255,287.897,288.901,1507.411,125.587,10.520,52.137,3.326,0.000,0.000,11.823,3.231,2.009,294.825,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 120,"24","","15-Aug-13",,,23.400,18.000,10.133,0.000,0.000,1793.809,1720.644,7.945,635.948,638.167,1630.859,66.547,23.238,28.239,1.629,0.000,0.000,16.619,1.712,1.065,651.253,18.000,10.133,7.945,635.948,638.167,1630.859,66.547,23.238,28.239,1.629,0.000,0.000,16.619,1.712,1.065,651.253,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 121,"1","","23-Aug-13",,,24.500,16.000,10.133,0.000,0.000,1933.346,1777.626,8.205,342.306,343.531,1646.734,117.701,13.191,48.670,2.546,0.000,0.000,12.866,2.993,1.863,349.717,16.000,10.133,8.205,342.306,343.531,1646.734,117.701,13.191,48.670,2.546,0.000,0.000,12.866,2.993,1.863,349.717,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 122,"2","","23-Aug-13",,,24.600,16.000,10.133,0.000,0.000,1819.808,1807.232,7.700,1145.756,1149.856,1724.471,38.633,44.129,17.294,0.798,0.000,0.000,18.981,0.982,0.612,1170.562,16.000,10.133,7.700,1145.756,1149.856,1724.471,38.633,44.129,17.294,0.798,0.000,0.000,18.981,0.982,0.612,1170.562,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 123,"3","","23-Aug-13",,,24.600,16.200,10.133,0.000,0.000,1828.381,1745.135,7.985,570.485,572.521,1651.496,71.798,21.840,31.733,1.566,0.000,0.000,16.117,1.825,1.137,582.965,16.200,10.133,7.985,570.485,572.521,1651.496,71.798,21.840,31.733,1.566,0.000,0.000,16.117,1.825,1.137,582.965,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 124,"4","","23-Aug-13",,,24.700,16.200,10.133,0.000,0.000,1847.390,1689.004,8.220,313.465,314.584,1560.181,116.829,11.994,50.861,2.697,0.000,0.000,12.396,2.969,1.851,320.322,16.200,10.133,8.220,313.465,314.584,1560.181,116.829,11.994,50.861,2.697,0.000,0.000,12.396,2.969,1.851,320.322,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 125,"5","","23-Aug-13",,,24.600,16.300,10.133,0.000,0.000,1847.093,1686.987,8.225,309.852,310.956,1557.122,118.038,11.827,51.154,2.747,0.000,0.000,12.330,3.002,1.871,316.666,16.300,10.133,8.225,309.852,310.956,1557.122,118.038,11.827,51.154,2.747,0.000,0.000,12.330,3.002,1.871,316.666,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 126,"6","","23-Aug-13",,,24.600,16.200,10.133,0.000,0.000,1821.807,1750.743,7.940,636.509,638.781,1661.261,65.114,24.368,28.919,1.412,0.000,0.000,16.791,1.656,1.032,650.434,16.200,10.133,7.940,636.509,638.781,1661.261,65.114,24.368,28.919,1.412,0.000,0.000,16.791,1.656,1.032,650.434,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 127,"7","","23-Aug-13",,,24.200,16.500,10.133,0.000,0.000,1838.283,1687.131,8.205,327.246,328.409,1562.033,112.654,12.444,48.304,2.645,0.000,0.000,12.682,2.873,1.788,334.519,16.500,10.133,8.205,327.246,328.409,1562.033,112.654,12.444,48.304,2.645,0.000,0.000,12.682,2.873,1.788,334.519,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
